trade_number,row_id,predicted_class,true_class,max_confidence,entry_price,future_return,spread_return,raw_trade_return,effective_raw_return,exit_reason,position_notional_usd,margin_required_usd,dynamic_sl_amount_usd,dynamic_tp_amount_usd,dynamic_sl_return,dynamic_tp_return,fee_cost,pnl,balance_before,balance_after,peak_balance,drawdown_pct,win_after_exit
66,2026-04-22 12:57:00,-1,0,0.7294905538784618,1.1,0.0006795380520241,0.0001787586006827,-0.0008582966527068,-0.0008582966527068,final_horizon,1100.0,0.55,2.75487457225071,5.50974914450142,0.002504431429318827,0.005008862858637654,0.0,-0.94412631797748,27.5487457225071,26.60461940452962,32.80616611647922,-18.903600896035318,False
67,2026-04-22 12:59:00,-1,1,0.5624080006456076,1.1,0.0018205157531605,0.0001789079077934,-0.0019994236609539003,-0.0019994236609539003,final_horizon,1100.0,0.55,2.660461940452962,5.320923880905924,0.002418601764048147,0.004837203528096294,0.0,-2.1993660270492903,26.60461940452962,24.405253377480328,32.80616611647922,-25.607724807498727,False
68,2026-04-22 13:00:00,1,1,0.841900776391955,1.1,0.0023272333720845,0.0001789294700927,0.0021483039019918,0.0021483039019918,final_horizon,1100.0,0.55,2.440525337748033,4.881050675496066,0.0022186593979527575,0.004437318795905515,0.0,2.36313429219098,24.405253377480328,26.76838766967131,32.80616611647922,-18.40440124996809,True
69,2026-04-22 13:01:00,1,1,0.7538232206815414,1.1,0.0025630764381661,0.0001789411566066,0.0023841352815595,0.0023841352815595,final_horizon,1100.0,0.55,2.676838766967131,5.353677533934262,0.0024334897881519374,0.004866979576303875,0.0,2.62254880971545,26.76838766967131,29.39093647938676,32.80616611647922,-10.410328427182225,True
70,2026-04-22 13:02:00,1,1,0.6310300872923761,1.1,0.0017687764014948,0.0001788578520832,0.0015899185494116,0.0015899185494116,final_horizon,1100.0,0.55,2.9390936479386762,5.8781872958773524,0.0026719033163078876,0.005343806632615775,0.0,1.7489104043527601,29.39093647938676,31.13984688373952,32.80616611647922,-5.0792867012359375,True
71,2026-04-22 13:06:00,1,1,0.7030399151447002,1.1,0.0017650290260997,0.0001788147215094,0.0015862143045903,0.0015862143045903,final_horizon,1100.0,0.55,3.113984688373952,6.227969376747904,0.002830895171249047,0.005661790342498094,0.0,1.7448357350493302,31.13984688373952,32.88468261878885,32.88468261878885,0.0,True
72,2026-04-22 13:07:00,1,1,0.7398162106035457,1.1,0.0022070145685699,0.0001788400993226,0.0020281744692473,0.0020281744692473,final_horizon,1100.0,0.55,3.288468261878885,6.57693652375777,0.0029895166017080772,0.0059790332034161545,0.0,2.23099191617203,32.88468261878885,35.11567453496088,35.11567453496088,0.0,True
73,2026-04-22 13:08:00,1,1,0.6570676230005725,1.1,0.0024738063989484,0.0001787893737301,0.0022950170252183,0.0022950170252183,final_horizon,1100.0,0.55,3.511567453496088,7.023134906992176,0.003192334048632807,0.006384668097265614,0.0,2.52451872774013,35.11567453496088,37.64019326270101,37.64019326270101,0.0,True
74,2026-04-22 13:09:00,1,1,0.6252569087557169,1.1,0.0025844638872523,0.000178837951866,0.0024056259353863,0.0024056259353863,final_horizon,1100.0,0.55,3.7640193262701014,7.528038652540203,0.0034218357511546374,0.006843671502309275,0.0,2.64618852892493,37.64019326270101,40.28638179162594,40.28638179162594,0.0,True
75,2026-04-22 13:13:00,-1,0,0.5672674280993244,1.1,0.001487495999914,0.0001786322182089,-0.0016661282181229,-0.0016661282181229,final_horizon,1100.0,0.55,4.028638179162594,8.057276358325188,0.0036623983446932673,0.007324796689386535,0.0,-1.83274103993519,40.28638179162594,38.45364075169075,40.28638179162594,-4.549281812933007,False
