timestamp,event,bar_time,ticket,symbol,predicted_class,confidence,probabilities,result
2026-04-23T23:22:05.779373,signal_skipped,1776957660,0,0.5999996379863433,"{""-1"": 0.257618619182942, ""0"": 0.5999996379863433, ""1"": 0.14238174283071464}",threshold_or_filter
2026-04-23T23:23:01.885268,signal_skipped,1776957720,-1,0.43713148875527913,"{""-1"": 0.43713148875527913, ""0"": 0.42209980465588287, ""1"": 0.14076870658883808}",threshold_or_filter
2026-04-23T23:24:02.080036,signal_skipped,1776957780,-1,0.3899494275773833,"{""-1"": 0.3899494275773833, ""0"": 0.36593454972693584, ""1"": 0.24411602269568078}",threshold_or_filter
2026-04-23T23:25:03.130499,order_opened,1776957840,1050361880,BTCUSDm,-1,0.5574051933282199,"{""-1"": 0.5574051933282199, ""0"": 0.19645427863644555, ""1"": 0.24614052803533454}","{""retcode"": 10009, ""deal"": 520463698, ""order"": 1050361880, ""volume"": 0.01, ""price"": 78581.06, ""bid"": 78581.06, ""ask"": 78595.06, ""comment"": ""lgbm-live"", ""request_id"": 1696313448, ""retcode_external"": 0, ""request"": [1, 20260423, 0, ""BTCUSDm"", 0.01, 78581.06, 0.0, 78702.5, 78338.5, 50, 1, 1, 0, 0, ""lgbm-live"", 0, 0]}"
2026-04-23T23:26:01.389791,signal_skipped,1776957900,0,0.5606935040794385,"{""-1"": 0.40576542012612066, ""0"": 0.5606935040794385, ""1"": 0.03354107579444086}",threshold_or_filter
2026-04-23T23:27:01.796615,signal_skipped,1776957960,-1,0.7040770374176378,"{""-1"": 0.7040770374176378, ""0"": 0.24790104113742079, ""1"": 0.04802192144494136}",position_already_open
2026-04-23T23:28:02.143846,signal_skipped,1776958020,-1,0.6637298439791609,"{""-1"": 0.6637298439791609, ""0"": 0.28021847233475405, ""1"": 0.056051683686085096}",position_already_open
2026-04-23T23:29:02.539441,signal_skipped,1776958080,-1,0.5140633051725585,"{""-1"": 0.5140633051725585, ""0"": 0.3947335931379905, ""1"": 0.09120310168945102}",threshold_or_filter
2026-04-23T23:30:00.818407,signal_skipped,1776958140,-1,0.7528639505431169,"{""-1"": 0.7528639505431169, ""0"": 0.18716347040694145, ""1"": 0.05997257904994154}",position_already_open
2026-04-23T23:31:01.252599,signal_skipped,1776958200,0,0.8817529673014707,"{""-1"": 0.05123641370771694, ""0"": 0.8817529673014707, ""1"": 0.06701061899081241}",threshold_or_filter
2026-04-23T23:32:01.595244,signal_skipped,1776958260,0,0.623315385001926,"{""-1"": 0.048279197156156556, ""0"": 0.623315385001926, ""1"": 0.32840541784191757}",threshold_or_filter
2026-04-23T23:33:04.021015,signal_skipped,1776958320,0,0.6114381655735219,"{""-1"": 0.09158043403459036, ""0"": 0.6114381655735219, ""1"": 0.2969814003918876}",threshold_or_filter
2026-04-23T23:34:02.192890,signal_skipped,1776958380,0,0.6147945406594522,"{""-1"": 0.07378971257427908, ""0"": 0.6147945406594522, ""1"": 0.3114157467662687}",threshold_or_filter
2026-04-23T23:35:02.462273,signal_skipped,1776958440,1,0.4425859352631284,"{""-1"": 0.12127942111176519, ""0"": 0.43613464362510646, ""1"": 0.4425859352631284}",threshold_or_filter
2026-04-23T23:36:00.688700,signal_skipped,1776958500,0,0.4486262537202902,"{""-1"": 0.19357077908004625, ""0"": 0.4486262537202902, ""1"": 0.3578029671996635}",threshold_or_filter
2026-04-23T23:37:03.004227,signal_skipped,1776958560,1,0.42895732072774506,"{""-1"": 0.1955900583278633, ""0"": 0.3754526209443916, ""1"": 0.42895732072774506}",threshold_or_filter
2026-04-23T23:38:03.244909,signal_skipped,1776958620,1,0.5569846619863584,"{""-1"": 0.17819667748471058, ""0"": 0.26481866052893105, ""1"": 0.5569846619863584}",position_already_open
2026-04-23T23:39:01.439546,signal_skipped,1776958680,1,0.5349796170052794,"{""-1"": 0.23975574668715446, ""0"": 0.22526463630756605, ""1"": 0.5349796170052794}",threshold_or_filter
